Mismatch at pos (134, 3927) cpu: -0.000484938 gpu: -0.000484916
Mismatch at pos (135, 1309) cpu: -0.000159533 gpu: -0.000159526
Mismatch at pos (135, 3927) cpu: -0.00047859 gpu: -0.000478569
Mismatch at pos (136, 1309) cpu: -0.000156848 gpu: -0.000156839
Mismatch at pos (136, 3927) cpu: -0.000470527 gpu: -0.000470503
Mismatch at pos (137, 3927) cpu: -0.000460763 gpu: -0.000460748
Mismatch at pos (138, 1309) cpu: -0.000149787 gpu: -0.000149777
Mismatch at pos (138, 3927) cpu: -0.000449347 gpu: -0.000449324
Mismatch at pos (139, 1309) cpu: -0.000145441 gpu: -0.000145431
Mismatch at pos (140, 3927) cpu: -0.000421702 gpu: -0.000421683
Mismatch at pos (145, 1309) cpu: -0.000109047 gpu: -0.000109041
Mismatch at pos (149, 1309) cpu: -7.66522e-05 gpu: -7.66483e-05
Mismatch at pos (149, 3927) cpu: -0.000229943 gpu: -0.000229951
Mismatch at pos (151, 1309) cpu: -5.86804e-05 gpu: -5.86751e-05
Mismatch at pos (151, 2618) cpu: 0.000117357 gpu: 0.00011735
Mismatch at pos (152, 1309) cpu: -4.9358e-05 gpu: -4.93556e-05
Mismatch at pos (153, 1309) cpu: -3.98627e-05 gpu: -3.98585e-05
Mismatch at pos (153, 2618) cpu: 7.97227e-05 gpu: 7.97189e-05
Mismatch at pos (153, 3927) cpu: -0.000119578 gpu: -0.000119582
Mismatch at pos (154, 2618) cpu: 6.04425e-05 gpu: 6.04394e-05
Mismatch at pos (155, 1309) cpu: -2.04719e-05 gpu: -2.04691e-05
Mismatch at pos (155, 2618) cpu: 4.09418e-05 gpu: 4.09398e-05
Mismatch at pos (156, 1309) cpu: -1.06473e-05 gpu: -1.06467e-05
Mismatch at pos (156, 2618) cpu: 2.12971e-05 gpu: 2.12947e-05
Mismatch at pos (157, 157) cpu: 2.04452e-05 gpu: 2.04439e-05
Mismatch at pos (157, 576) cpu: -1.06146e-05 gpu: -1.06157e-05
Mismatch at pos (157, 733) cpu: -9.82992e-06 gpu: -9.82926e-06
Mismatch at pos (157, 1152) cpu: 2.12298e-05 gpu: 2.12314e-05
Mismatch at pos (157, 1309) cpu: -7.87591e-07 gpu: -7.85252e-07
Mismatch at pos (157, 1623) cpu: 4.01047e-05 gpu: 4.0101e-05
Mismatch at pos (157, 1885) cpu: 1.14003e-05 gpu: 1.13996e-05
Mismatch at pos (157, 2042) cpu: 9.04458e-06 gpu: 9.0426e-06
Mismatch at pos (157, 2199) cpu: -2.94873e-05 gpu: -2.94858e-05
Mismatch at pos (157, 2304) cpu: 4.24608e-05 gpu: 4.24586e-05
Mismatch at pos (157, 2356) cpu: 4.99305e-05 gpu: 4.99334e-05
Mismatch at pos (157, 2618) cpu: 1.57236e-06 gpu: 1.5716e-06
Mismatch at pos (157, 2775) cpu: 1.88718e-05 gpu: 1.88708e-05
Mismatch at pos (157, 2827) cpu: -0.000111251 gpu: -0.000111255
Mismatch at pos (157, 2932) cpu: -3.93152e-05 gpu: -3.93174e-05
Mismatch at pos (157, 3194) cpu: -1.21891e-05 gpu: -1.21874e-05
Mismatch at pos (157, 3299) cpu: -8.41324e-05 gpu: -8.41286e-05
Mismatch at pos (157, 3351) cpu: -8.25624e-06 gpu: -8.25862e-06
Mismatch at pos (157, 3770) cpu: 2.28031e-05 gpu: 2.2802e-05
Mismatch at pos (157, 3927) cpu: -2.35618e-06 gpu: -2.35852e-06
Mismatch at pos (158, 1309) cpu: 9.07752e-06 gpu: 9.07855e-06
Mismatch at pos (158, 2618) cpu: -1.81537e-05 gpu: -1.81562e-05
Mismatch at pos (159, 1309) cpu: 1.89083e-05 gpu: 1.891e-05
Mismatch at pos (159, 3927) cpu: 5.67306e-05 gpu: 5.67281e-05
Mismatch at pos (160, 1309) cpu: 2.8671e-05 gpu: 2.86733e-05
Mismatch at pos (161, 1309) cpu: 3.83316e-05 gpu: 3.83338e-05
Mismatch at pos (162, 1309) cpu: 4.78515e-05 gpu: 4.78553e-05
